wallet,in_degree,out_degree,total_transactions,total_incoming,total_outgoing,avg_transaction,unique_connections
W001,2,2,5,180,450,126.0,3
W002,2,3,7,390,435,117.85714285714286,5
W003,2,3,7,370,365,105.0,4
W004,2,2,6,295,300,99.16666666666667,4
W005,2,2,6,350,370,120.0,4
W006,3,2,7,400,295,99.28571428571429,5
W007,1,1,4,155,200,88.75,2
W008,1,1,3,200,70,90.0,2
W009,1,1,2,70,85,77.5,2
W010,2,1,3,265,125,130.0,3
W011,1,1,2,125,100,112.5,2
W012,1,1,2,100,95,97.5,2
W013,1,1,2,95,110,102.5,2
W014,1,1,2,110,90,100.0,2
W015,1,1,2,90,105,97.5,2
W016,3,3,14,61400,86500,10564.285714285714,3
W017,2,2,8,44500,45200,11212.5,3
W018,3,2,10,60700,36200,9690.0,3
W019,2,3,8,39300,38000,9662.5,3
